usuario,sesion,digito,usuario_num,muestra,distancia0,distancia1,distancia2,distancia3,distancia4,distancia5,distancia6,distancia7,distancia8,distancia9
101,session_1,0,101,002,10.069036340310243,107.70282682440293,74.51879828858344,92.73484614670114,73.60216613660883,77.56300367446127,44.668022679476124,75.32141831415261,37.24069129011607,86.94175758812325
101,session_1,0,101,004,18.145091207811376,114.00237450771434,90.59760039418094,97.91269220329626,79.23299292039414,81.37826705786517,55.938776578067404,83.97692122605042,43.02829899690043,94.04454171031989
101,session_1,0,101,006,20.21281623525822,105.24662559537522,80.3752116457462,88.70104584957663,78.18549287942044,72.90639864584618,41.14698068851796,77.21592824225996,38.35707719939069,87.09715824388942
101,session_1,0,101,008,31.286717484106042,87.14658381362864,76.07326369216457,88.18324110300885,80.73780924720805,76.43636585546662,44.88214446056958,66.77949464929733,42.80687378864401,75.20004166615914
101,session_2,0,101,010,9.456251325196478,107.62553461783133,81.94488620591912,99.52366369993368,72.76671466389419,80.78873671773898,53.25119568315732,74.56529096618422,38.68895521989145,82.82379593255088
101,session_2,0,101,012,10.344811577495502,101.7699437082329,72.66508232873736,96.69112621870035,68.17592029858285,77.5484306258249,40.960667866477046,70.20620980972272,29.07636575191453,78.95151466993238
101,session_2,0,101,014,21.063579832402144,116.9275915107196,88.8616003907341,113.90822575358578,93.33415908670035,99.76537623567756,64.24956711134648,82.09341094580812,47.362064617263506,98.26392469650344
101,session_2,0,101,016,22.878471601908725,106.1463322757158,81.31396087266157,93.50028407616995,88.2038206239528,76.47038853335593,55.979682391236736,82.36673391993199,49.11356701542239,97.3694236310874
102,session_1,0,102,002,60.053539487482574,52.644309353351275,51.73610527323755,72.03024841575416,66.70537293637408,49.95393852534016,40.775155546414794,58.2217398912068,53.10968375227676,56.90201048739495
102,session_1,0,102,004,25.798709040458423,116.21590534183478,99.12548955954702,100.38523264583999,74.55050820519838,86.82407454967863,56.81215022064998,84.05284810652707,45.63209935609193,89.96257385573081
102,session_1,0,102,006,23.20655125177557,129.39737548471152,102.15646006064094,119.99476139216176,88.50325404507988,110.68888871603633,74.72920604513303,102.66333725368823,57.66578467229441,107.2606340965505
102,session_1,0,102,008,10.634492173409956,106.68919603680509,70.66712743102016,101.06599430187417,69.71296818332844,82.50559771325632,54.664847845785104,70.75186348182913,34.904021204879975,86.74813521160205
